"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007159","leukocyte cell-cell adhesion","26/263","439/18860",0.0592255125284738,4.24712230527382,8.18634540429515,5.97857815960367e-10,8.06758408515023e-08,6.01733916541499e-08,"6352/5788/3112/199/11151/26279/6850/399/939/240/3108/6404/923/604/7070/1445/1236/942/6279/22890/7805/3559/29108/57162/51571/4067",26
"GO:0042100","B cell proliferation","13/263","94/18860",0.138297872340426,9.91748240433622,10.3070905360889,6.18713652106838e-10,8.06758408515023e-08,6.01733916541499e-08,"51237/5788/931/604/1026/472/952/930/10451/7305/57162/4208/4067",13
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","21/263","289/18860",0.0726643598615917,5.21083584406699,8.57857883119949,7.73207931809355e-10,9.73442123805501e-08,7.26057684061996e-08,"6352/5788/3112/199/11151/6850/399/939/240/3108/923/604/7070/1445/1236/942/22890/3559/29108/51571/4067",21
"GO:0050870","positive regulation of T cell activation","20/263","267/18860",0.0749063670411985,5.37161248059697,8.55536045856419,1.17231707302307e-09,1.42670987786908e-07,1.06413483084586e-07,"6352/5788/3112/199/11151/6850/399/939/3108/923/604/7070/1445/1236/942/22890/3559/29108/51571/4067",20
"GO:0050900","leukocyte migration","24/263","397/18860",0.0604534005037783,4.33517541255232,7.98690572058574,1.89039576440604e-09,2.22639836640208e-07,1.66059553226432e-07,"10563/6352/199/11151/56833/4283/6850/1843/3627/240/6404/7422/7070/1236/2833/6279/5800/4739/7852/10451/29108/7941/51192/4067",24
"GO:1903037","regulation of leukocyte cell-cell adhesion","24/263","401/18860",0.0598503740648379,4.29193176753933,7.9238215307313,2.3050146973459e-09,2.62987770625309e-07,1.96153717830061e-07,"6352/5788/3112/199/11151/26279/6850/399/939/240/3108/923/604/7070/1445/1236/942/22890/7805/3559/29108/57162/51571/4067",24
"GO:0030888","regulation of B cell proliferation","11/263","68/18860",0.161764705882353,11.6003131290539,10.4136363494331,2.39014603318779e-09,2.64437065671776e-07,1.97234698177251e-07,"51237/5788/604/1026/472/952/10451/7305/57162/4208/4067",11
"GO:0070665","positive regulation of leukocyte proliferation","16/263","173/18860",0.092485549132948,6.63223367546539,8.85013066320641,2.76731576568629e-09,2.97160878250607e-07,2.2164228748701e-07,"6352/5788/199/11151/6850/923/604/1026/952/942/10451/3559/29108/57162/4208/4067",16
"GO:1903706","regulation of hemopoiesis","25/263","443/18860",0.0564334085778781,4.0468976645581,7.71731177664739,3.48525980459174e-09,3.63562387044698e-07,2.711689357738e-07,"5788/6772/914/56833/6935/6850/399/939/604/10538/942/677/4739/22890/2124/9770/4792/3559/3398/3148/7305/9636/9760/4208/4067",25
"GO:0050671","positive regulation of lymphocyte proliferation","15/263","153/18860",0.0980392156862745,7.03049280548721,8.90660526165514,3.92662125104497e-09,3.98224838543478e-07,2.97022490539572e-07,"6352/5788/199/11151/6850/923/604/1026/952/942/10451/3559/29108/57162/4208",15
