"gene","degree","betweenness","closeness"
"GBP1",22,89.8034498734222,0.00153139356814701
"ALOX5",22,341.83011375351,0.00165837479270315
"IFI30",22,90.0023015150557,0.0015527950310559
"CEBPD",22,270.651418465239,0.00161030595813205
"MS4A6A",22,309.576246099719,0.00149253731343284
"GZMH",20,5.78629851488782,0.00145348837209302
"ALCAM",20,11.3257255877374,0.00159489633173844
"MEF2C",20,458.435999425459,0.00157232704402516
"PRKCB",20,74.614550158371,0.00167785234899329
"SERPINA1",20,44.4049661790588,0.00154320987654321
"TNFRSF10B",18,18.7390261016642,0.00163934426229508
"CTSB",18,37.1574262252767,0.00151285930408472
"AIM2",18,88.1539101192672,0.00157232704402516
"PRKACB",18,36.1888532562314,0.00169204737732657
"TNFRSF17",16,50.2988371173713,0.00144092219020173
"GIMAP4",16,24.8978151528496,0.00144092219020173
"PSME2",16,20.9623234838787,0.00154083204930663
"MZB1",16,363.509022207809,0.00135685210312076
"COL3A1",16,16.1281536644907,0.00145137880986938
"CD6",16,1.9661993181365,0.00151975683890578
"HLA-DMA",16,125.743768437948,0.00151975683890578
"VAV3",16,8.61453340627959,0.00163132137030995
"CCNG2",16,23.2908447397021,0.00141442715700141
"BANK1",16,14.1329853473128,0.0015625
"TCL1A",16,29.6139488028768,0.00155038759689922
"ACTR3",14,428.454535473456,0.00130378096479791
"SLAMF8",14,9.54609222737438,0.00142247510668563
"BTG2",14,20.0457735760559,0.00143266475644699
"BCL11A",14,41.9155851570723,0.00145772594752187
"DOK2",14,2.07581322037171,0.00157977883096367
"PPP2R5C",14,285.610694538819,0.00157232704402516
"UBE2L6",12,603.646825813817,0.00142045454545455
"LAIR1",12,233.073620823621,0.00152439024390244
"SH3BP5",12,231,0.0014903129657228
"RASGRP3",12,155.84185877328,0.00147710487444609
"TIA1",12,294.367360485122,0.00147710487444609
"TBL1X",10,72.4134713649207,0.00143472022955524
"PYCARD",10,11.6120077804939,0.0014792899408284
"CTSC",10,3.56267303254237,0.00134589502018843
"ADAMDEC1",10,1.6326103157548,0.00131578947368421
"BHLHE40",10,52.8349060640159,0.00140252454417952
"LYL1",10,48.7799816294736,0.00130718954248366
"NUP210",10,72.8613787397201,0.00134589502018843
"SEMA4C",10,7.19734431588027,0.00145348837209302
"VNN2",10,0.603034654038201,0.00148809523809524
"DDIT4",10,0.817857142857143,0.00144092219020173
"CDC5L",10,194.02856008838,0.0013531799729364
"IRAG2",10,237.924543679943,0.00149253731343284
"LAT2",10,0,0.00151057401812689
"MYBL1",10,42.5198352122797,0.0014367816091954
"PLXNA1",10,265.001351442593,0.00151515151515152
"LOXL2",10,1.70125176904152,0.00140646976090014
"RAD17",10,0,0.00137551581843191
"BCL7A",10,14.305941851326,0.00141242937853107
"MAP4K1",10,10.410100833574,0.00153374233128834
"PER2",8,21.1597698341907,0.00134408602150538
"IER3",8,6.19420674330338,0.00134228187919463
"RFX5",8,24.2300847084938,0.00126422250316056
"MT1E",8,0,0.25
"MT1H",8,0,0.25
"BNIP3",8,0,0.00143266475644699
"GM2A",8,930.390890024763,0.00112612612612613
"LBR",8,241.486028689067,0.00144300144300144
"NEDD9",8,217.077215156568,0.00148148148148148
"MT1F",8,0,0.25
"MT1X",8,0,0.25
"SLC7A7",8,912,0.00133511348464619
