"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"219012_s_at",0.10650371234185,4.28609307565939,0.324960815062433,0.748337909116576,0.890246843673305,-6.98974705894168
"215819_s_at",0.111655220040972,5.10599534121791,0.32482461284875,0.748439574777652,0.890320256500663,-6.98979278873852
"204965_at",-0.116673720252411,4.10428680460902,-0.324711518493197,0.748523995558002,0.890348893023217,-6.98983074566298
"212299_at",-0.0677803958362385,7.78087572976795,-0.324681423266131,0.748546461082885,0.890348893023217,-6.9898408440706
"211131_s_at",0.143462536616227,2.8200599984487,0.324630042200404,0.748584816616974,0.890348893023217,-6.98985808276702
"201242_s_at",0.126775172673692,7.54487441806941,0.324578258369677,0.748623473485751,0.890348893023217,-6.98987545386042
"216317_x_at",0.122312974009293,3.88155073244802,0.324453464948839,0.748716635130221,0.890377098443032,-6.98991730503847
"202346_at",0.0543266589081616,7.16304316738565,0.324439441111783,0.748727104547213,0.890377098443032,-6.98992200712768
"201567_s_at",0.0504478618570689,8.13628437154102,0.324298784278486,0.748832113861325,0.890451166480092,-6.98996915719497
"211658_at",0.0994003712704322,6.00259741840322,0.324203073028729,0.748903571277024,0.890451166480092,-6.99000122932099
"221372_s_at",0.147956282323677,2.98186220956586,0.324195437336895,0.748909272135862,0.890451166480092,-6.9900037875806
"204495_s_at",-0.0669135055654028,6.59114918583358,-0.324000715132883,0.74905465800657,0.890492066691505,-6.99006900708015
"213188_s_at",-0.0548755857121525,7.35753958951521,-0.323976753889792,0.749072548902658,0.890492066691505,-6.99007702988477
"204651_at",-0.0550071172511746,6.53121885123029,-0.323966423544532,0.749080262200416,0.890492066691505,-6.99008048855334
"203375_s_at",0.0790244427763778,6.62482042999885,0.323935271571989,0.749103522422128,0.890492066691505,-6.99009091778053
"213928_s_at",-0.141081797900346,4.28157551993984,-0.323723909864354,0.749261346175267,0.890611253027723,-6.99016165237691
"215473_at",-0.0940024963766198,3.97644404435216,-0.323693945802859,0.749283721245377,0.890611253027723,-6.99017167649034
"208604_s_at",0.112051217824121,4.01385854570837,0.323639475100471,0.749324396743495,0.89061209369721,-6.99018989664991
"214773_x_at",0.0623179256281265,6.40385974415457,0.323349251667202,0.749541131018691,0.890781786389571,-6.99028692365099
"210174_at",0.0648575649420859,5.70584240425417,0.323317315576314,0.749564981680682,0.890781786389571,-6.99029759520544
